,user,location,verified,followers,content,polarity
1029,AppleMusic,"Cupertino, CA",TRUE,"9,644,355",".@flumemusic's #TheDifference featuring @ToroyMoi stars in a new film for AirPods Pro.
Listen now:… https://t.co/TXNow9AJCF",0.136363636
616,billboard,,TRUE,"8,451,461",.@flumemusic &amp; @ToroyMoi unleashed the trippy new visual for #TheDifference https://t.co/Z6E3G05dka,0.068181818
1075,pitchfork,Chicago/NYC,TRUE,"3,316,686",New from @ToroYMoi and @FlumeMusic https://t.co/YN5rAeSS8P,0.136363636
723,iHeartRadio,United States,TRUE,"1,647,653",.@flumemusic and @ToroyMoi's latest bop 'The Difference' came just in time for spring 💫 https://t.co/F9gTvzmlvj,0.5
486,NME,London,TRUE,"906,269",This marks the pair's first-ever collaboration https://t.co/cZXuj4MTiW,
824,HYPEBEAST,,TRUE,"699,309","""Just another world that I gotta get a grip of and hold onto."" https://t.co/4eWljtLmto",
986,thefader,"New York, NY",TRUE,"682,105",".@flumemusic tells us about his new @ToroyMoi collaboration, “The Difference.”

https://t.co/nSlpjHOq9m https://t.co/jG3t3gGkui",0.136363636
682,triplej,Australia,TRUE,"534,654","@flumemusic returns with drum 'n' bass inspired track, 'The Difference' feat. @ToroyMoi https://t.co/2pv7g6lP06 https://t.co/vQooW9R4oM",-0.15
344,pandoramusic,,TRUE,"531,724","We've been waiting for a @flumemusic and @ToroyMoi collab 🤯 Spin the producer's new bop ""The Difference"" now: https://t.co/0o83BMLiPq",0.136363636
1105,kcrw,"Los Angeles, CA",TRUE,"505,344","🚨NEW MUSIC ALERT 🚨 @ToroyMoi and @flumemusic's ""The Difference"" is a deliciously sweet pop drum &amp; bass track. Take… https://t.co/XwZdZQipHp",0.112121212
649,DJmag,London,TRUE,"402,582",". @flumemusic will celebrate the ""three eras"" of his career to date with three special shows at @RedRocksCO https://t.co/kkU716mYsU",0.357142857
170,DJmag,London,TRUE,"402,582",". @flumemusic has dropped his collaboration with Toro Y Moi, 'The Difference'                  https://t.co/mZgo1USTMW",
425,DJmag,London,TRUE,"402,582",". @flumemusic has dropped his collaboration with Toro Y Moi, 'The Difference' https://t.co/mZgo1USTMW",
1073,stereogum,New York,TRUE,"344,459","Flume and Toro Y Moi team up on new single ""The Difference."" Watch the video: https://t.co/L84kvJodbE https://t.co/Q08na2Swgx",0.032467532
826,PigsAndPlans,"New York, NY",TRUE,"300,360","This new @flume x @ToroyMoi song and video is great. ""The Difference"" out now. 🎨☯️ https://t.co/zjy3FpA0g2",0.468181818
772,PasteMagazine,"Atlanta, GA",TRUE,"239,581","Flume (@flumemusic) and @toroymoi are at their most frenetic on ""The Difference"": https://t.co/KS06KmKf5v https://t.co/yYQsKQfstW",0.5
925,killthenoise,For Ezra,TRUE,"229,272",ok flume make some neurofunk then lets go,0.5
1018,consequence,New York / Chicago,TRUE,"215,748","See Flume and Toro y Moi team in the video for their new song ""The Difference"": https://t.co/wTP6W7qT29 https://t.co/KcToa8P49c",0.136363636
560,consequence,New York / Chicago,TRUE,"215,748",.@flume and @ToroyMoi link  https://t.co/wTP6W7qT29,
1056,dancingastro,"New York, NY",TRUE,"209,528","The D’n’B side of @flumemusic 🔥

He’s taking his first steps into the genre as the pairing between him &amp; @ToroyMoi… https://t.co/edGEDCpbZn",0.25
47,dancingastro,"New York, NY",TRUE,"209,528","new music is all that’s left

i_o
Arty
Flume
Lane 8
Brooks
Crankdat
BROHUG
Chris Lake
Jason Ross
Loud Luxury
Calvin… https://t.co/1r6xqA5GFi",0.136363636
760,TheEDMNetwork,The Universe,TRUE,"172,923","Are you excited that a new @flumemusic album is on the way⁉️😍
 
https://t.co/HtqTxa2ViP",0.255681818
569,WJAM999,"Tampa, FL",FALSE,"162,052",Flume and Toro Y Moi Share New Song “The Difference”: Listen https://t.co/7JSlA9uyZl https://t.co/Xt9kwOTSL6,0.136363636
412,brooklynvegan,"Brooklyn, NY",TRUE,"154,943","including songs by Kool Keith &amp; Thetan, Flume ft. Toro y Moi, Snail Mail, Sufjan Stevens &amp; Lowell Brams, Margo Pric… https://t.co/KwLXbU1cPH",
1126,GailSimone,LINDAAAAAAAAA!,FALSE,"154,488","""Dear Gwyneth Paltrow,

I would like to respectfully complain about this candle which I purchased from GOOP a fortn… https://t.co/3czayZMZ6v",0.5
1028,diymagazine,UK,TRUE,"134,947",.@flumemusic and @ToroyMoi have teamed up on new song 'The Difference' https://t.co/3ltS25Oe9e https://t.co/9tN7vRIkyr,0.136363636
988,YourEDM,,FALSE,"132,653","straight heat.

https://t.co/sShjA6sUtO",0.2
625,billboarddance,Instagram/FB: billboarddance,TRUE,"111,815",Watch the serenely trippy video for @flumemusic &amp; @ToroyMoi’s #TheDifference https://t.co/OP8SXzyZwF,
116,chilkathaiku,,FALSE,"96,612","flume comes tighten reciprocal my name receives preparing summarize,
#fakespeare ღ https://t.co/OoIPklyo23",
1019,ventsmagazine,Santo Domingo,FALSE,"96,294",FLUME UNVEILS “THE DIFFERENCE” WITH TORO Y MOI https://t.co/RHcgvcrLmX https://t.co/oYDr83mA8i,
329,audiomack,NYC,TRUE,"95,309","#NowTrending📈 

@flumemusic - ""The Difference"" ft. @ToroyMoi 

Listen here: https://t.co/Px566fDWHN https://t.co/vjzxJC3NtA",
763,illroots,App Store,TRUE,"94,897",FLUME - THE DIFFERENCE (FT. TORO Y MOI) (MUSIC VIDEO) https://t.co/gwX5nj3qgy [@flumemusic @ToroyMoi] https://t.co/aK8WrXbQ9j,
1116,wave105radio,"Solent area, UK",TRUE,"88,610",🌊🏊‍♀️ #Win a Kids Party for 10 at @SplashdownPoole - home to 13 thrilling indoor and outdoor flume rides and 3 unde… https://t.co/S01PrY7cyJ,0.525
814,UPROXX,,TRUE,"88,561",".@flumemusic and @ToroyMoi are a perfect pairing on their spirited new song, 'The Difference'… https://t.co/v2b5i4zUAc",0.545454545
981,bestfitmusic,"London, UK",FALSE,"75,744","Flume and Toro Y Moi team up for vibrant new cut ""The Difference"" https://t.co/nvulTmwvwF https://t.co/9sqTnAQlKG",0.151515152
139,hypebeastmusic,,TRUE,"74,799","""Just another world that I gotta get a grip of and hold onto."" https://t.co/NHXbq1R6es",
870,hypebeastmusic,,TRUE,"74,799","""Just another world that I gotta get a grip of and hold onto."" https://t.co/nB1dbd3Rnj",
1100,gorillavsbear,TX,TRUE,"69,741","check the @flumemusic + @ToroyMoi collab ""the difference""

https://t.co/TfWff1YUxc",
722,Paste_Music,"Atlanta, GA",FALSE,"67,764",New from @flumemusic and @ToroyMoi: https://t.co/dL1Ys4GC35,0.136363636
234,dream925fm,"Enugu, Nigeria",FALSE,"65,745",Np Flume - @flumemusic @theweeknd @MosesSumney  // #LateNights with @SoulSistaNeka  #ThirstyThursday https://t.co/JhocIVFZoU,
1050,SachaVibes,Vancouver/LA/MTL/France,FALSE,"65,620","So dope to see @flumemusic &amp; @ToroyMoi releasing DRUM &amp; BASS!!

SO glad this wasn't just a rumor, and as usual, wha… https://t.co/yOMZ8RIN2p",0.125
608,Popdust,NYC,TRUE,"58,967","Brisk and snappy, the ""The Difference"" feels like a jog outside on the first day that the winter blues make way for… https://t.co/BvXWboy7wz",0.125
485,bandt,"Sydney, Australia",TRUE,"56,975","Apple has unveiled its latest work flogging its (slightly too expensive) Airpods and, it has to be, said it’s some… https://t.co/DW4iq2QzVn",-0.055555556
568,POWER1079,"Los Angeles, CA",FALSE,"53,849",Flume and Toro Y Moi Share New Song “The Difference”: Listen https://t.co/zAV8CegdCh https://t.co/CWMRZYSN1O,0.136363636
473,indieshuffle,"Cape Town, SF, London, Sydney",FALSE,"53,136","Fucking amazing. @flumemusic and @ToroyMoi - ""The DIfference"" https://t.co/y93L1EtEHo https://t.co/2jiZsHLWlc",0.6
836,indieshuffle,"Cape Town, SF, London, Sydney",FALSE,"53,136","Fucking amazing. @flumemusic and @ToroyMoi - ""The DIfference"" https://t.co/y93L1EtEHo https://t.co/m0JdkgLmIb",0.6
511,indieshuffle,"Cape Town, SF, London, Sydney",FALSE,"53,136",From the archives: @flumemusic - What You Need | #electronic #house | https://t.co/djh02V59Wb https://t.co/7Euiktxiub,
716,indieshuffle,"Cape Town, SF, London, Sydney",FALSE,"53,136",From the archives: @disclosure - You &amp; Me (@flumemusic Remix) | #futuregarage # | https://t.co/SyF6dTT2wx https://t.co/TAKUY0cVwe,
391,Pinboard,,FALSE,"51,119",@Susan_Hennessey Just put bleach in the log flume https://t.co/3GOaY873Go,
