user,location,verified,followers,content,polarity
AppleMusic,"Cupertino, CA",TRUE,"9,648,798",".@flumemusic's #TheDifference featuring @ToroyMoi stars in a new film for AirPods Pro.
Listen now:… https://t.co/TXNow9AJCF",0.136363636
billboard,,TRUE,"8,476,027",.@flumemusic &amp; @ToroyMoi unleashed the trippy new visual for #TheDifference https://t.co/Z6E3G05dka,0.068181818
pitchfork,Chicago/NYC,TRUE,"3,316,646",New from @ToroYMoi and @FlumeMusic https://t.co/YN5rAeSS8P,0.136363636
iHeartRadio,United States,TRUE,"1,647,703",.@flumemusic and @ToroyMoi's latest bop 'The Difference' came just in time for spring 💫 https://t.co/F9gTvzmlvj,0.5
ComedyCentral,,TRUE,"1,621,508",#Cherdleys had sex on the log flume and then upgraded to the Mile High Club. #SexFails https://t.co/FIUMLzON0r,0.16
HotNewHipHop,,TRUE,"1,317,501","Eclectic meets electronic as Flume teams up with Toro y Moi on ""The Difference,"" a new #DrumAndBass-inspired single… https://t.co/057bT4Rkc5",0.032467532
HotNewHipHop,,TRUE,"1,317,501","Eclectic meets electronic as @flumemusic teams up with @ToroyMoi on #TheDifference, a new drum and bass-inspired si… https://t.co/eySLFHD6DS",0.136363636
HotNewHipHop,,TRUE,"1,317,501",Happy Sunday! Add some drum and bass vibes to your rotation this AM courtesy of a new banger by @flumemusic &amp;… https://t.co/9FEglJy3xw,0.262121212
HotNewHipHop,,TRUE,"1,317,500","Happy Sunday! Add some drum and bass vibes to your rotation courtesy of this new banger by #Flume &amp; #ToroYMoi 😌🎶

https://t.co/56Rqk0f8d6",0.262121212
HotNewHipHop,,TRUE,"1,317,500","Happy Sunday! Add some drum and bass vibes to your rotation courtesy of this new banger by Flume &amp; Toro y Moi 😌🎶

https://t.co/56Rqk0f8d6",0.262121212
NME,London,TRUE,"906,065",This marks the pair's first-ever collaboration https://t.co/cZXuj4MTiW,
HYPEBEAST,,TRUE,"700,235","""Just another world that I gotta get a grip of and hold onto."" https://t.co/4eWljtLmto",
thefader,"New York, NY",TRUE,"681,952",".@flumemusic spoke to us about his new @ToroyMoi  collaboration, “The Difference,” out now.

https://t.co/nSlpjHOq9m https://t.co/0vOJvvll08",0.136363636
thefader,"New York, NY",TRUE,"681,952",".@flumemusic tells us about his new @ToroyMoi collaboration, “The Difference.”

https://t.co/nSlpjHOq9m https://t.co/jG3t3gGkui",0.136363636
theneedledrop,Intornet,TRUE,"657,759","Weekly Track Roundup: 3/16 (ITZY, Flume, Childish Gambino, The Killers) https://t.co/J7pjkg25vm",-0.2
triplej,Australia,TRUE,"537,154","@flumemusic returns with drum 'n' bass inspired track, 'The Difference' feat. @ToroyMoi https://t.co/2pv7g6lP06 https://t.co/vQooW9R4oM",-0.15
pandoramusic,,TRUE,"531,776","We've been waiting for a @flumemusic and @ToroyMoi collab 🤯 Spin the producer's new bop ""The Difference"" now: https://t.co/0o83BMLiPq",0.136363636
kcrw,"Los Angeles, CA",TRUE,"505,277","🚨NEW MUSIC ALERT 🚨 @ToroyMoi and @flumemusic's ""The Difference"" is a deliciously sweet pop drum &amp; bass track. Take… https://t.co/XwZdZQipHp",0.112121212
flumemusic,Sydney AUS,TRUE,"498,529","Due to the current situation, Flume &amp; Friends 2020 is on pause - sign up to the email list for latest updates:… https://t.co/ZC9wpxsEOp",0.125
DJmag,London,TRUE,"402,623",". @flumemusic will celebrate the ""three eras"" of his career to date with three special shows at @RedRocksCO 

https://t.co/kkU7165nBm",0.357142857
DJmag,London,TRUE,"402,623",". @flumemusic has dropped his collaboration with Toro Y Moi, 'The Difference'                      https://t.co/mZgo1USTMW",
DJmag,London,TRUE,"402,623",". @flumemusic will celebrate the ""three eras"" of his career to date with three special shows at @RedRocksCO 
https://t.co/kkU7165nBm",0.357142857
DJmag,London,TRUE,"402,623",". @flumemusic has dropped his collaboration with Toro Y Moi, 'The Difference'                  https://t.co/mZgo1USTMW",
DJmag,London,TRUE,"402,623",". @flumemusic has dropped his collaboration with Toro Y Moi, 'The Difference' https://t.co/mZgo1USTMW",
DJmag,London,TRUE,"402,623",". @flumemusic will celebrate the ""three eras"" of his career to date with three special shows at @RedRocksCO https://t.co/kkU716mYsU",0.357142857
stereogum,New York,TRUE,"344,644","Flume and Toro Y Moi team up on new single ""The Difference."" Watch the video: https://t.co/L84kvJodbE https://t.co/Q08na2Swgx",0.032467532
awonderland,"Australia, Earth",TRUE,"306,771",we really went from flume eating ass in the desert to the world on lockdown in 6 months,0.2
PigsAndPlans,"New York, NY",TRUE,"300,757","This new @flume x @ToroyMoi song and video is great. ""The Difference"" out now. 🎨☯️ https://t.co/zjy3FpA0g2",0.468181818
PasteMagazine,"Atlanta, GA",TRUE,"239,471","Flume (@flumemusic) and @toroymoi are at their most frenetic on ""The Difference"": https://t.co/KS06KmKf5v https://t.co/yYQsKQfstW",0.5
killthenoise,For Ezra,TRUE,"229,254",ok flume make some neurofunk then lets go,0.5
consequence,New York / Chicago,TRUE,"215,902",.@flume and @ToroyMoi link  https://t.co/wTP6W7qT29,
consequence,New York / Chicago,TRUE,"215,902","See Flume and Toro y Moi team in the video for their new song ""The Difference"": https://t.co/wTP6W7qT29 https://t.co/KcToa8P49c",0.136363636
dancingastro,"New York, NY",TRUE,"210,245","new music is all that’s left

i_o
Arty
Flume
Lane 8
Brooks
Crankdat
BROHUG
Chris Lake
Jason Ross
Loud Luxury
Calvin… https://t.co/1r6xqA5GFi",0.136363636
dancingastro,"New York, NY",TRUE,"210,245","The D’n’B side of @flumemusic 🔥

He’s taking his first steps into the genre as the pairing between him &amp; @ToroyMoi… https://t.co/edGEDCpbZn",0.25
Hits93Toronto,Toronto,TRUE,"191,546",Now Playing: Never Be Like You (feat. Kai) by Flume. https://t.co/gCdjI2V0wy,
Hits93Toronto,Toronto,TRUE,"191,546",Now Playing: Never Be Like You (feat. Kai) by Flume. https://t.co/gCdjI2V0wy,
Hits93Toronto,Toronto,TRUE,"191,546",Now Playing: Never Be Like You (feat. Kai) by Flume. https://t.co/gCdjI2V0wy,
TheEDMNetwork,The Universe,TRUE,"172,916","@flumemusic  just gave the EDM world a BIG silver lining. 😍

https://t.co/lHDYH1QmzA",
TheEDMNetwork,The Universe,TRUE,"172,916","Are you excited that a new @flumemusic album is on the way⁉️😍
 
https://t.co/HtqTxa2ViP",0.255681818
brooklynvegan,"Brooklyn, NY",TRUE,"154,976","including songs by Kool Keith &amp; Thetan, Flume ft. Toro y Moi, Snail Mail, Sufjan Stevens &amp; Lowell Brams, Margo Pric… https://t.co/KwLXbU1cPH",
diymagazine,UK,TRUE,"134,962",.@flumemusic and @ToroyMoi have teamed up on new song 'The Difference' https://t.co/3ltS25Oe9e https://t.co/9tN7vRIkyr,0.136363636
YourEDM,,FALSE,"132,552","straight heat.

https://t.co/sShjA6sUtO",0.2
billboarddance,Instagram/FB: billboarddance,TRUE,"111,818",Watch the serenely trippy video for @flumemusic &amp; @ToroyMoi’s #TheDifference https://t.co/OP8SXzyZwF,
ventsmagazine,Santo Domingo,FALSE,"96,200",FLUME UNVEILS “THE DIFFERENCE” WITH TORO Y MOI https://t.co/RHcgvcrLmX https://t.co/oYDr83mA8i,
audiomack,NYC,TRUE,"96,047","#NowTrending📈 

@flumemusic - ""The Difference"" ft. @ToroyMoi 

Listen here: https://t.co/Px566fDWHN https://t.co/vjzxJC3NtA",
illroots,App Store,TRUE,"94,876",FLUME - THE DIFFERENCE (FT. TORO Y MOI) (MUSIC VIDEO) https://t.co/gwX5nj3qgy [@flumemusic @ToroyMoi] https://t.co/aK8WrXbQ9j,
wave105radio,"Solent area, UK",TRUE,"88,586",🌊🏊‍♀️ #Win a Kids Party for 10 at @SplashdownPoole - home to 13 thrilling indoor and outdoor flume rides and 3 unde… https://t.co/S01PrY7cyJ,0.525
UPROXX,,TRUE,"88,570",".@flumemusic and @ToroyMoi are a perfect pairing on their spirited new song, 'The Difference'… https://t.co/v2b5i4zUAc",0.545454545
bestfitmusic,"London, UK",FALSE,"75,739","Flume and Toro Y Moi team up for vibrant new cut ""The Difference"" https://t.co/nvulTmwvwF https://t.co/9sqTnAQlKG",0.151515152
hypebeastmusic,,TRUE,"74,792","""Just another world that I gotta get a grip of and hold onto."" https://t.co/NHXbq1R6es",
hypebeastmusic,,TRUE,"74,792","""Just another world that I gotta get a grip of and hold onto."" https://t.co/nB1dbd3Rnj",
popsugarau,Australia,TRUE,"70,491","Flume, The Strokes and Tyler, the Creator will still headline.  https://t.co/15tp4uvqZY",
gorillavsbear,TX,TRUE,"69,738","check the @flumemusic + @ToroyMoi collab ""the difference""

https://t.co/TfWff1YUxc",
Paste_Music,"Atlanta, GA",FALSE,"67,743",New from @flumemusic and @ToroyMoi: https://t.co/dL1Ys4GC35,0.136363636
dream925fm,"Enugu, Nigeria",FALSE,"65,740",Np Flume - @flumemusic ft @MosesSumney @theweeknd  // #LateNights with @SoulSistaNeka #RealTalk https://t.co/Wb6F6jKuSz,
dream925fm,"Enugu, Nigeria",FALSE,"65,740",Np Flume - @flumemusic @theweeknd @MosesSumney  // #LateNights with @SoulSistaNeka  #ThirstyThursday https://t.co/JhocIVFZoU,
SachaVibes,Vancouver/LA/MTL/France,FALSE,"65,567","So dope to see @flumemusic &amp; @ToroyMoi releasing DRUM &amp; BASS!!

SO glad this wasn't just a rumor, and as usual, wha… https://t.co/yOMZ8RIN2p",0.125
TeamBandL,Los Angeles,TRUE,"60,106","at least we got new music

calvin harris
porter robinson
peekaboo x isoxo
flume x toro y moi
shawn wasabi x r.jay
k… https://t.co/lklz9LmGNc",-0.081818182
Popdust,NYC,TRUE,"58,946","Brisk and snappy, the ""The Difference"" feels like a jog outside on the first day that the winter blues make way for… https://t.co/BvXWboy7wz",0.125
bandt,"Sydney, Australia",TRUE,"56,953","Apple has unveiled its latest work flogging its (slightly too expensive) Airpods and, it has to be, said it’s some… https://t.co/DW4iq2QzVn",-0.055555556
indieshuffle,"Cape Town, SF, London, Sydney",FALSE,"53,127","Fucking amazing. @flumemusic and @ToroyMoi - ""The DIfference"" https://t.co/y93L1EtEHo https://t.co/2jiZsHLWlc",0.6
indieshuffle,"Cape Town, SF, London, Sydney",FALSE,"53,127",From the archives: @flumemusic - What You Need | #electronic #house | https://t.co/djh02V59Wb https://t.co/7Euiktxiub,
indieshuffle,"Cape Town, SF, London, Sydney",FALSE,"53,127",From the archives: @disclosure - You &amp; Me (@flumemusic Remix) | #futuregarage # | https://t.co/SyF6dTT2wx https://t.co/TAKUY0cVwe,
indieshuffle,"Cape Town, SF, London, Sydney",FALSE,"53,127","Fucking amazing. @flumemusic and @ToroyMoi - ""The DIfference"" https://t.co/y93L1EtEHo https://t.co/m0JdkgLmIb",0.6
