Track,Artist,Track Popularity,Followers,Genres,Artist Popularity,Release Date,Date,Total Playlists,All About Country,Big Country,Breakout Country,Country Drive,Country Favourites,Country Kind of Love,Country Rocks,Fresh Country,Hot Country,Live Country,Nashville Stripped,Nashvilles Worldwide Hot 50,New Boots,New Music Nashville,New Traditions Country Heroes,Next From Nashville,PopCo,Still Hot,Texas Music Now,Very Nearly Nashville,Women of Country
Gaslighter,Dixie Chicks,74,933687,"['contemporary country', 'country', 'country dawn']",72,2020-03-04,2020-04-02,9,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1
I Love My Country,Florida Georgia Line,67,3637566,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",81,2020-03-27,2020-04-02,7,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0
Better Off,Trace Adkins,54,1449836,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",65,2020-03-20,2020-04-02,6,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
the other girl (with Halsey),Kelsea Ballerini,75,762076,"['contemporary country', 'pop', 'post-teen pop']",77,2020-03-20,2020-04-02,6,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
Last Time I Say Sorry,Kane Brown,69,2357935,"['contemporary country', 'country road']",79,2020-03-27,2020-04-02,6,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
The Stranger,Ingrid Andress,57,26825,"['contemporary country', 'country pop']",64,2020-03-27,2020-04-02,6,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
Grew Up On That,High Valley,55,90736,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",55,2020-03-13,2020-04-02,5,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
I Need Love,Blanco Brown,50,89950,['country rap'],67,2020-03-13,2020-04-02,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0
Hometown,Logan Mize,56,53700,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'redneck']",58,2020-03-13,2020-04-02,5,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Me on You,Teddy Robb,47,3138,['country pop'],46,2020-03-20,2020-04-02,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
In My Veins,Lauren Alaina,60,349209,"['contemporary country', 'country', 'country dawn', 'country road']",73,2020-03-06,2020-04-02,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Good Ol' Girls,Jenee Fleenor,43,206,[],29,2020-03-13,2020-04-02,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Think About You,Alana Springsteen,54,2490,['country pop'],50,2020-03-20,2020-04-02,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
Slow Down,Gone West,52,14386,"['contemporary country', 'country pop']",50,2020-03-03,2020-04-02,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
I Love You Now Change,Twinnie,42,2447,['country pop'],36,2020-03-20,2020-04-02,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Wild World,Kip Moore,57,854370,"['contemporary country', 'country', 'country road', 'modern country rock']",66,2020-03-27,2020-04-02,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Be A Light,Various Artists,47,874621,[],0,2020-03-30,2020-04-02,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Detours,Jordan Davis,55,225518,"['contemporary country', 'country road']",71,2020-03-27,2020-04-02,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
One Day,Jackson Michelson,52,7213,['country pop'],48,2020-03-06,2020-04-02,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Whiskey On The Table,Alex Hall,41,794,[],39,2020-03-27,2020-04-02,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Everybody's Got a Story,Chevel Shepherd,43,4404,[],35,2020-03-20,2020-04-02,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Just Let Go,Gord Bamford,50,36833,"['alberta country', 'australian country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",48,2020-03-06,2020-04-02,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Here I Am,Renee Blair,50,2409,"['contemporary country', 'country pop']",38,2020-03-06,2020-04-02,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Planning My Survival,Seth Cook,26,1923,[],24,2020-03-20,2020-04-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Finish This Up,Livy Jeanne,33,3513,"['alberta country', 'canadian contemporary country', 'canadian country', 'country pop']",25,2020-03-18,2020-04-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
What Are You Gonna Tell Her?,Mickey Guyton,51,25562,"['contemporary country', 'country pop']",47,2020-03-06,2020-04-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
half of my hometown (feat. Kenny Chesney),Kelsea Ballerini,59,762076,"['contemporary country', 'pop', 'post-teen pop']",77,2020-03-20,2020-04-02,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ain't Lookin' Back,Mo Pitney,45,18954,[],41,2020-03-13,2020-04-02,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Light On,Kaylee Bell,44,5059,"['australian country', 'country pop']",41,2020-03-13,2020-04-02,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
I'm Still Hangin' On,John Anderson,40,245817,"['country', 'country road', 'country rock']",56,2020-03-20,2020-04-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Half a Mind to Go Crazy,Tyler Booth,47,3266,[],42,2020-03-13,2020-04-02,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fly Away,Caitlyn Smith,46,24352,"['contemporary country', 'country pop']",54,2020-03-13,2020-04-02,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
If I Can't Have You,Sara Evans,42,725814,"['contemporary country', 'country', 'country dawn', 'country gospel', 'country road']",57,2020-03-20,2020-04-02,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
