Track,_Artist,_Track_Popularity,_Followers,_Genres,_Artist_Popularity,_Release_Date,_Date,_Total_Playlists,_All_About_Country,_Big_Country,_Breakout_Country,_Country_Drive,_Country_Favourites,_Country_Kind_of_Love,_Country_Rocks,_Fresh_Country,_Hot_Country,_Live_Country,_Nashville_Stripped,_Nashvilles_Worldwide_Hot_50,_New_Boots,_New_Music_Nashville,_New_Traditions_Country_Heroes,_Next_From_Nashville,_PopCo,_Still_Hot,_Texas_Music_Now,_Very_Nearly_Nashville,_Women_of_Country
I Called Mama,Tim McGraw,67,3159685,"['contemporary country', 'country', 'country road']",77,2020-05-08,2020-06-19,7,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
Cool Again,Kane Brown,75,2554522,"['contemporary country', 'country road']",82,2020-04-23,2020-06-19,7,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
No I in Beer,Brad Paisley,63,1774980,"['contemporary country', 'country', 'country road']",72,2020-04-15,2020-06-19,6,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
I Love My Country,Florida Georgia Line,64,3768463,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",84,2020-03-27,2020-06-19,6,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
Lady,Brett Young,74,547054,['contemporary country'],77,2020-05-01,2020-06-19,6,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Worldwide Beautiful,Kane Brown,69,2554522,"['contemporary country', 'country road']",82,2020-06-04,2020-06-19,5,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Almost Maybes,Jordan Davis,71,263431,['contemporary country'],74,2020-05-08,2020-06-19,5,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
One Margarita,Luke Bryan,76,5371567,"['contemporary country', 'country', 'country road']",81,2020-03-13,2020-06-19,5,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Black Like Me,Mickey Guyton,68,28148,"['contemporary country', 'country pop']",58,2020-06-02,2020-06-19,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
More Than My Hometown,Morgan Wallen,79,602606,"['contemporary country', 'country road', 'deep talent show']",83,2020-04-17,2020-06-19,5,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
One Of Them Girls,Lee Brice,77,1267495,"['contemporary country', 'country', 'country road', 'modern country rock']",76,2020-04-10,2020-06-19,5,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Six Feet Apart,Luke Combs,77,2973280,['contemporary country'],86,2020-05-01,2020-06-19,5,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Single Saturday Night,Cole Swindell,65,1329628,"['contemporary country', 'country', 'country road', 'modern country rock']",70,2020-05-22,2020-06-19,5,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
Be A Light,Thomas Rhett,75,3402923,"['contemporary country', 'country', 'country road', 'modern country rock']",82,2020-03-30,2020-06-19,5,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Hold You Tonight (with Chris Lane),Gryffin,76,534121,"['dance pop', 'edm', 'electro house', 'pop', 'tropical house']",80,2020-04-07,2020-06-19,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Like A Man,Dallas Smith,61,47691,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country pop', 'country road', 'modern country rock']",59,2020-04-03,2020-06-19,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Me Lately,Filmore,59,24019,"['contemporary country', 'country pop']",61,2020-04-03,2020-06-19,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Everything Falls for You,Seaforth,57,10110,"['contemporary country', 'country pop']",62,2020-05-29,2020-06-19,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
I Don't Need To Know,Maddie & Tae,56,548121,"['contemporary country', 'country', 'country pop']",69,2020-04-10,2020-06-19,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
On Me (feat. Ava Max) - From 'SCOOB!' The Album,Thomas Rhett,72,3402923,"['contemporary country', 'country', 'country road', 'modern country rock']",82,2020-05-06,2020-06-19,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
If I Was a Bar,Matt Stell,48,19002,"['arkansas country', 'contemporary country', 'country pop']",65,2020-06-12,2020-06-19,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Every Other Memory,Ryan Hurd,63,84789,"['contemporary country', 'country pop']",66,2020-04-20,2020-06-19,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
the other girl (with Halsey),Kelsea Ballerini,71,778918,"['contemporary country', 'pop']",77,2020-03-20,2020-06-19,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
Second Guessing - From Songland,Florida Georgia Line,72,3768463,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",84,2020-05-22,2020-06-19,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Champagne Night - From Songland,Lady A,66,2963860,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']",75,2020-04-13,2020-06-19,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
The Stranger,Ingrid Andress,62,36907,"['contemporary country', 'country pop']",64,2020-03-27,2020-06-19,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Build Me A Daddy,Luke Bryan,61,5371567,"['contemporary country', 'country', 'country road']",81,2020-06-12,2020-06-19,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Good Day,Brett Eldredge,58,1123111,"['contemporary country', 'country', 'country road', 'modern country rock']",68,2020-05-22,2020-06-19,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Spur of the Moment,Kylie Frey,51,1850,[],40,2020-05-15,2020-06-19,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
BOOTS,HARDY,64,36835,['contemporary country'],70,2020-05-01,2020-06-19,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Summer Time,James Barker Band,53,72643,"['canadian contemporary country', 'canadian country', 'contemporary country', 'country pop', 'country road', 'modern country rock']",57,2020-06-12,2020-06-19,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
She's Mine,Kip Moore,59,888742,"['contemporary country', 'country', 'country road', 'modern country rock']",72,2020-05-29,2020-06-19,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Redwood Tree,Cam,57,139584,"['contemporary country', 'country pop']",60,2020-05-29,2020-06-19,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Hard Dirt,Hunter Brothers,42,17945,"['canadian contemporary country', 'canadian country']",47,2020-06-12,2020-06-19,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
The World Goes On,Jamie O'Neal,48,75699,"['contemporary country', 'country', 'country dawn', 'country road']",44,2020-05-29,2020-06-19,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
