Track,Artist,Track Popularity,Followers,Genres,Artist Popularity,Release Date,Date,Total Playlists,All About Country,Big Country,Breakout Country,Country Drive,Country Favourites,Country Kind of Love,Country Rocks,Fresh Country,Hot Country,Live Country,Nashville Stripped,Nashvilles Worldwide Hot 50,New Boots,New Music Nashville,New Traditions Country Heroes,Next From Nashville,PopCo,Still Hot,Texas Music Now,Very Nearly Nashville,Women of Country
Gaslighter,Dixie Chicks,72,921065,"['contemporary country', 'country', 'country dawn']",71,2020-03-04,2020-03-17,11,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1
In My Veins,Lauren Alaina,61,344222,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",72,2020-03-06,2020-03-17,6,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Hometown,Logan Mize,48,52909,"['contemporary country', 'country pop', 'country road', 'modern country rock', 'redneck']",57,2020-03-13,2020-03-17,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
One Day,Jackson Michelson,44,7170,['country pop'],49,2020-03-06,2020-03-17,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Grew Up On That,High Valley,43,89637,"['alberta country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",54,2020-03-13,2020-03-17,4,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Slow Down,Gone West,49,13841,"['contemporary country', 'country pop']",49,2020-03-03,2020-03-17,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
What Are You Gonna Tell Her?,Mickey Guyton,51,25321,"['contemporary country', 'country pop']",47,2020-03-06,2020-03-17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Moose Knuckle Shuffle,Hot Country Knights,45,3164,[],46,2020-03-06,2020-03-17,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Just Let Go,Gord Bamford,45,36389,"['alberta country', 'australian country', 'canadian contemporary country', 'canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",47,2020-03-06,2020-03-17,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Here I Am,Renee Blair,40,2286,"['contemporary country', 'country pop']",32,2020-03-06,2020-03-17,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Something About You,Seth Alley,41,1878,['country pop'],40,2020-03-06,2020-03-17,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
One Margarita,Luke Bryan,59,5083295,"['contemporary country', 'country', 'country road']",78,2020-03-13,2020-03-17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Light On,Kaylee Bell,28,4996,"['australian country', 'contemporary country', 'country pop']",40,2020-03-13,2020-03-17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ain't Lookin' Back,Mo Pitney,29,18812,[],39,2020-03-13,2020-03-17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Empty Glass,Holly Tucker,28,1541,['deep talent show'],31,2020-03-13,2020-03-17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Half a Mind to Go Crazy,Tyler Booth,31,3124,[],40,2020-03-13,2020-03-17,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Real Talk,Angie K,41,3576,[],44,2020-03-06,2020-03-17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Sparrow,Ashley McBryde,44,59047,"['arkansas country', 'contemporary country', 'country pop']",57,2020-03-06,2020-03-17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
I Need Love,Blanco Brown,36,87131,['country rap'],67,2020-03-13,2020-03-17,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pawn Shop,Brandy Clark,46,35776,"['contemporary country', 'country pop']",48,2020-03-06,2020-03-17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Freestylin',Stereosaga!!!,40,179,[],28,2020-03-06,2020-03-17,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Like That,Matthew McSwain,29,349,[],22,2020-03-06,2020-03-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
