Track,Artist,Track Popularity,Followers,Genres,Artist Popularity,Release Date,Date,Total Playlists,100,A1 Hip-Hop,Afro Bashment,Alternative Hip Hop,Anti Pop,BAE,Beast Mode,Beats & Rhymes,Bedroom Jams,Cali Fire,Channel X,Clout Culture,Get Turnt,Grime Shutdown,Hip Hop Mix,Hip-Hop Central,Hip-Hop Favourites,Hip-Hop Mixtape,Hip-Hop Yoga,Hot Hip Hop,Hot Hits Australia,Hot Hits New Zealand,Hot Hits UK,Hot Rhythmic,Internet People,Locked In,"Love, Sex, & Water",Mellow Bars,Mind Right,Most Necessary,New Music Now,Off The Strength,Power Workout,R&B Right Now,Rap UK,Rap Workout,RapCaviar,Shisha Lounge,Signed XOXO,Singled Out,Spilled Ink,State of Mind,Swag!,The Newness,The Realest Down South,Top Hits Deutschland,Top Hits NL,Treino Hip-Hop,Urban Flavour,Who We Be,Workout Twerkout
Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,80,6046427,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",82,2020-03-09,2020-03-19,15,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
FREAK,Tyga,69,5492873,"['pop rap', 'rap', 'trap']",87,2020-03-13,2020-03-19,12,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
Cardigan,Don Toliver,76,347218,"['hip hop', 'rap', 'trap']",82,2020-03-13,2020-03-19,12,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Levi High (feat. DaBaby),DaniLeigh,64,335829,"['alternative r&b', 'deep pop r&b', 'pop', 'pop rap', 'r&b', 'rap', 'rap latina']",71,2020-03-13,2020-03-19,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
All Star (with Lil Tjay),Lil Tecca,69,1952793,['melodic rap'],83,2020-03-13,2020-03-19,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Suicidal (Remix) [feat. Juice WRLD],YNW Melly,77,3083494,['melodic rap'],85,2020-03-13,2020-03-19,9,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Captain Hook,Megan Thee Stallion,75,835760,"['houston rap', 'pop', 'pop rap', 'trap queen']",80,2020-03-06,2020-03-19,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SKYBOX,Gunna,78,1894769,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",88,2020-03-06,2020-03-19,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
I WANNA SEE SOME ASS (feat. jetsonmade),Jack Harlow,66,174798,"['deep underground hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']",78,2020-03-13,2020-03-19,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Heatin Up (feat. Gunna),Lil Baby,83,3682528,"['atl hip hop', 'atl trap', 'rap']",92,2020-02-28,2020-03-19,8,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
That Way,Lil Uzi Vert,86,8206376,"['melodic rap', 'philly rap', 'rap']",95,2020-03-01,2020-03-19,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Stuck Together (feat. Lil Baby),Rich The Kid,71,2046615,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",81,2020-03-13,2020-03-19,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Havin My Way (feat. Lil Durk),Lil Skies,76,3835555,"['melodic rap', 'pop rap', 'rap', 'trap']",81,2020-03-04,2020-03-19,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Live Off My Closet (feat. Future),Lil Baby,79,3682528,"['atl hip hop', 'atl trap', 'rap']",92,2020-02-28,2020-03-19,7,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
The Other Side (from Trolls World Tour),SZA,83,3167659,"['pop', 'pop rap', 'rap']",81,2020-02-26,2020-03-19,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
100 Shots,NLE Choppa,73,1097349,['memphis hip hop'],83,2020-02-28,2020-03-19,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Happiness Over Everything (H.O.E.) (feat. Future & Miguel),Jhené Aiko,73,2968145,"['alternative r&b', 'pop', 'pop rap', 'r&b']",84,2020-02-28,2020-03-19,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Bully Beef (feat. Fredo),Young T & Bugsey,68,134121,"['grime', 'uk drill', 'uk hip hop']",68,2020-02-20,2020-03-19,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
YES! (feat. Rich The Kid & K CAMP),KYLE,73,853206,"['pop', 'pop rap', 'rap']",74,2020-02-21,2020-03-19,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
