Artist,Track Popularity,Track,Followers,Artist Popularity,Release Date,Date,Days Since Release,Total Playlists,Release To On RapCaviar,RapCaviar,Days On RapCaviar,Release To On Beast Mode,Beast Mode,Days On Beast Mode,Release To On Get Turnt,Get Turnt,Days On Get Turnt,Release To On Power Workout,Power Workout,Days On Power Workout,Release To On Hot Hits UK,Hot Hits UK,Days On Hot Hits UK,Release To On Most Necessary,Most Necessary,Days On Most Necessary,Release To On Top Hits Deutschland,Top Hits Deutschland,Days On Top Hits Deutschland,Release To On Hot Rhythmic,Hot Rhythmic,Days On Hot Rhythmic,Release To On BAE,BAE,Days On BAE,"Release To On Love, Sex, & Water","Love, Sex, & Water","Days On Love, Sex, & Water",Release To On Signed XOXO,Signed XOXO,Days On Signed XOXO,Release To On Channel X,Channel X,Days On Channel X,Release To On Workout Twerk,Workout Twerkout,Days On Workout Twerkout,Release To On Hot Hits Australia,Hot Hits Australia,Days On Hot Hits Australia,Release To On Bedroom Jams,Bedroom Jams,Days On Bedroom Jams,Release To On Rap Workout,Rap Workout,Days On Rap Workout,Release To On Mellow Bars,Mellow Bars,Days On Mellow Bars,Release To On The Realest Down South,The Realest Down South,Days On The Realest Down South,Release To On Off The Strength,Off The Strength,Days On Off The Strength,Release To On Grime Shutdown,Grime Shutdown,Days On Grime Shutdown,Release To On Top Hits NL,Top Hits NL,Days On Top Hits NL,Release To On Hip-Hop Central,Hip-Hop Central,Days On Hip-Hop Central,Release To On Singled Out,Singled Out,Days On Singled Out,Release To On Shisha Lounge,Shisha Lounge,Days On Shisha Lounge,Release To On The Newness,The Newness,Days On The Newness,Release To On Locked In,Locked In,Days On Locked In,Release To On Mind Right,Mind Right,Days On Mind Right,Release To On Cali Fire,Cali Fire,Days On Cali Fire,Release To On Rap UK,Rap UK,Days On Rap UK,Release To On Hip-Hop Mixtape,Hip-Hop Mixtape,Days On Hip-Hop Mixtape,Release To On Who We Be,Who We Be,Days On Who We Be,Release To On Alternative Hip Hop,Alternative Hip Hop,Days On Alternative Hip Hop,Release To On Swag!,Swag!,Days On Swag!,Release To On Clout Culture,Clout Culture,Days On Clout Culture,Release To On Anti Pop,Anti Pop,Days On Anti Pop,Release To On Spilled Ink,Spilled Ink,Days On Spilled Ink,Release To On R&B Right Now,R&B Right Now,Days On R&B Right Now,Release To On State of Mind,State of Mind,Days On State of Mind,Release To On A1 Hip-Hop,A1 Hip-Hop,Days On A1 Hip-Hop,Release To On Hot Hip Hop,Hot Hip Hop,Days On Hot Hip Hop,Release To On Hip-Hop Favourites,Hip-Hop Favourites,Days On Hip-Hop Favourites,Release To On Hip-Hop Yoga,Hip-Hop Yoga,Days On Hip-Hop Yoga,Release To On Beats & Rhymes,Beats & Rhymes,Days On Beats & Rhymes,Release To On Treino Hip-Hop,Treino Hip-Hop,Days On Treino Hip-Hop,Release To On Urban Flavour,Urban Flavour,Days On Urban Flavour,Release To On Afro Bashment,Afro Bashment,Days On Afro Bashment,Release To On New Music Now,New Music Now,Days On New Music Now,Release To On Internet People,Internet People,Days On Internet People,Release To On Hip Hop Mix,Hip Hop Mix,Days On Hip Hop Mix,Release To On Hot Hits New Zealand,Hot Hits New Zealand,Days On Hot Hits New Zealand,Release To On 100,100,Days On 100
Ghali,59,Jennifer (feat. Soolking),2241340,76,2/21/20,2/24/20,3,1,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,3,1,0,N/A,0,N/A,N/A,0,N/A
Ghali,62,Jennifer (feat. Soolking),2244318,77,2/21/20,2/26/20,5,1,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,3,1,2,N/A,0,N/A,N/A,0,N/A
Ghali,63,Jennifer (feat. Soolking),2245801,78,2/21/20,2/27/20,6,1,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,3,1,3,N/A,0,N/A,N/A,0,N/A
Ghali,64,Jennifer (feat. Soolking),2247117,78,2/21/20,2/28/20,7,1,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,3,1,4,N/A,0,N/A,N/A,0,N/A
Ghali,65,Jennifer (feat. Soolking),2248740,79,2/21/20,2/29/20,8,1,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,3,1,5,N/A,0,N/A,N/A,0,N/A
Ghali,65,Jennifer (feat. Soolking),2250652,79,2/21/20,3/1/20,9,1,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,3,1,6,N/A,0,N/A,N/A,0,N/A
Kidd Keo,0,LOCO (feat. Dark Polo Gang),1117063,74,2/28/20,2/28/20,0,1,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,0,1,0,N/A,0,N/A,N/A,0,N/A
Kidd Keo,35,LOCO (feat. Dark Polo Gang),1118679,74,2/28/20,2/29/20,1,1,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,0,1,1,N/A,0,N/A,N/A,0,N/A
Kidd Keo,55,LOCO (feat. Dark Polo Gang),1120855,75,2/28/20,3/1/20,2,1,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,0,1,2,N/A,0,N/A,N/A,0,N/A
$hirak,0,Laat,48167,57,2/20/20,2/21/20,1,0,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A
